,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
18241,in,kharsia,21.966667,83.116667,290.018,50.0,0.0,1.35
46689,za,stanger,-29.328164,31.289537,294.743,94.0,48.0,0.1
8957,de,halstenbek,53.63333299999999,9.85,272.15,92.0,0.0,1.3
9909,dj,jibuti,11.595,43.148055600000006,293.093,100.0,24.0,1.4
35725,ru,domna,51.897121999999996,113.157302,272.15,58.0,0.0,1.25
13187,gh,kpandae,8.4666667,-0.0166667,302.368,66.0,36.0,3.55
30573,ph,tukuran,7.8524,123.5743,299.443,77.0,0.0,2.3
25929,no,lakselv,70.05,24.933332999999998,270.15,68.0,68.0,3.6
12325,gb,boat of garten,57.333332999999996,-3.733333,275.51,100.0,76.0,2.6
37248,ru,nizhniy mamon,50.1937,40.5083,268.593,93.0,92.0,4.2
32234,ro,baluseni,47.666667,26.8,278.15,86.0,92.0,4.6
31699,pt,olival,41.050244,-8.544163000000001,282.15,66.0,40.0,4.6
29659,ph,rizal,12.8864,124.1343,298.968,100.0,68.0,3.7
9168,de,langenhagen,52.45,9.75,272.15,100.0,0.0,2.1
36164,ru,kangalassy,62.346389,129.96277800000001,259.15,50.0,56.0,10.0
9681,de,steinhagen,52.0,8.4,275.13,69.0,0.0,3.6
37782,ru,priupskiy,53.909603000000004,37.735995,254.543,46.0,0.0,1.25
22782,mg,andevoranto,-18.95,49.1,298.768,100.0,100.0,4.8
24042,mx,la union,17.966667,-101.81666700000001,299.618,68.0,0.0,2.3
42323,us,fresno,36.7477778,-119.77138889999999,299.49,31.0,1.0,2.1
6463,cn,yangzhou,32.397222,119.435833,285.968,93.0,12.0,4.7
18559,in,mangan,27.516666999999998,88.533333,271.718,92.0,88.0,0.6
37452,ru,oktyabrsk,53.167221999999995,48.700556,256.493,59.0,0.0,2.15
43680,us,fairfield,44.588333299999995,-69.5991667,279.36,65.0,90.0,2.35
16238,id,cidahu,-6.769444,106.758889,291.868,84.0,0.0,1.2
41676,ua,rudno,49.849527,23.887734,277.15,86.0,90.0,1.0
20663,it,montesarchio,41.066666999999995,14.633332999999999,281.35,87.0,0.0,1.0
45558,us,middle valley,35.1958333,-85.18472220000001,288.59,87.0,90.0,3.7
23007,mm,meiktila,20.8666667,95.8666667,294.943,81.0,0.0,1.15
33417,ro,livezi,46.4,26.733333000000002,280.15,93.0,90.0,4.6
28369,ph,jamabalud,10.8788,122.6212,298.368,88.0,0.0,1.8
39110,ru,yelniki,54.623476000000004,43.873090999999995,257.093,56.0,0.0,2.5
10656,es,algete,40.597109,-3.4974300000000005,282.15,57.0,40.0,8.2
44608,us,ridgefield park,40.856944399999996,-74.0219444,282.38,87.0,90.0,3.1
18616,in,mehndawal,26.975278000000003,83.11166700000001,291.943,75.0,8.0,4.8
