,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
45082,us,norwood,39.15555560000001,-84.4597222,285.15,100.0,90.0,1.52
32008,py,santa maria,-26.783333000000002,-56.933333,294.08,97.0,44.0,0.97
288,am,lanjaghbyur,40.273055600000006,45.1444444,293.15,40.0,20.0,1.0
8750,de,edemissen,52.383333,10.266667,277.15,80.0,75.0,7.7
21609,jp,nabari,34.616667,136.083333,295.15,30.0,0.0,4.1
16733,il,ashdod,31.736056,34.655944,293.15,60.0,40.0,7.2
17777,in,gua,22.2,85.383333,311.405,15.0,0.0,2.52
40157,th,kanchanaburi,14.003195000000002,99.55005600000001,302.73,74.0,32.0,3.62
32748,ro,cordun,46.95,26.866667,274.67,100.0,90.0,2.1
28224,ph,guadalupe,10.454467,123.373201,304.15,55.0,75.0,4.1
6583,co,alvarado,4.566123999999999,-74.962294,289.755,100.0,92.0,0.77
13549,gr,falanna,39.716666700000005,22.4,286.15,54.0,20.0,3.1
3686,br,poa,-23.533333,-46.333333,292.82,88.0,40.0,1.5
38996,ru,votkinsk,57.048651,53.987168999999994,268.719,84.0,8.0,3.56
44659,us,aztec,36.8222222,-107.9922222,279.57,28.0,1.0,5.1
39174,ru,zaigrayevo,51.8336,108.2703,284.15,32.0,88.0,1.0
15783,hu,melykut,46.215088,19.381024,278.15,80.0,0.0,3.1
42314,us,fillmore,34.3991667,-118.91722220000001,286.17,93.0,90.0,1.52
31561,pt,castanheira de pera,40.007169,-8.210484,284.15,66.0,75.0,1.5
31007,pk,vihari,30.033333000000002,72.35,308.98,40.0,0.0,3.82
11808,fr,maubeuge,50.278499,3.9744260000000002,277.14,93.0,48.0,5.1
41574,ua,olyka,50.718554,25.812507,274.15,86.0,90.0,6.0
41174,ua,biryukove,47.956306,39.738426000000004,276.919,100.0,92.0,6.16
11372,fr,aubagne,43.290958,5.5868139999999995,285.95,87.0,32.0,6.06
19888,ir,fereydunshahr,32.940979,50.121,295.144,17.0,8.0,1.91
1821,be,westerlo,51.083333,4.9166669999999995,278.15,86.0,75.0,3.1
10519,ee,rapla,59.00722220000001,24.792777800000003,272.75,80.0,75.0,2.1
20293,it,cecina,43.316666999999995,10.516667,284.57,93.0,40.0,3.6
18705,in,nabinagar,24.616667,84.116667,308.669,18.0,0.0,4.11
38396,ru,sudogda,55.953936,40.862914,270.169,76.0,12.0,3.31
41249,ua,dmytrivka,45.971667,28.986389000000003,279.08,100.0,24.0,1.97
25039,my,nibong tebal,5.165862000000001,100.47792700000001,305.15,62.0,75.0,4.6
19557,in,tanakpur,29.083333000000003,80.116667,305.405,37.0,0.0,2.37
21395,jp,itami,34.766667,135.416667,292.87,30.0,0.0,3.1
39087,ru,yazykovo,54.2922,47.3891,269.205,92.0,0.0,2.97
31704,pt,oliveira,41.406479,-8.402733999999999,281.53,71.0,40.0,2.1
